Feedback,Theme,Sentiment,ACPT,Resolution Status,Difficulty
"The agent sounded patient and owned the issue, even though the final answer was not what I wanted.",Agent Behaviour,Mixed,Agent,Partially Resolved,High
The representative interrupted me twice and seemed to follow a script instead of listening to the problem.,Agent Behaviour,Negative,Agent,Unresolved,Medium
"Very empathetic support, clear next steps, and a calm tone throughout the call.",Agent Behaviour,Positive,Agent,Resolved,Medium
The agent was professional but did not acknowledge how long this issue has been open.,Agent Behaviour,Neutral,Agent,Review Required,High
"I felt rushed off the chat, and the answer did not match the question I asked.",Agent Behaviour,Negative,Agent,Unresolved,Medium
Good ownership from the agent; they checked the account notes and avoided making me repeat everything.,Agent Behaviour,Positive,Agent,Resolved,Medium
"The agent sounded patient and owned the issue, even though the final answer was not what I wanted.",Agent Behaviour,Mixed,Agent,Partially Resolved,High
The representative interrupted me twice and seemed to follow a script instead of listening to the problem.,Agent Behaviour,Negative,Agent,Unresolved,Medium
"Very empathetic support, clear next steps, and a calm tone throughout the call.",Agent Behaviour,Positive,Agent,Resolved,Medium
The agent was professional but did not acknowledge how long this issue has been open.,Agent Behaviour,Neutral,Agent,Review Required,High
"I felt rushed off the chat, and the answer did not match the question I asked.",Agent Behaviour,Negative,Agent,Unresolved,Medium
Good ownership from the agent; they checked the account notes and avoided making me repeat everything.,Agent Behaviour,Positive,Agent,Resolved,Medium
"The app finally worked after a restart, but the error message was so vague that I wasted time guessing.",Digital Experience,Mixed,Technology,Partially Resolved,High
"The website was smooth, the upload finished quickly, and the confirmation appeared immediately.",Digital Experience,Positive,Technology,Resolved,Medium
"The portal kept timing out after payment, so I do not know whether the transaction went through.",Digital Experience,Negative,Technology,Unresolved,Medium
"Login was successful, but the page layout changed and I could not find the usual report link.",Digital Experience,Neutral,Technology,Review Required,High
Mobile flow is better now; fewer clicks and the status messages are easier to understand.,Digital Experience,Positive,Technology,Resolved,Medium
"The chatbot kept looping me back to the same article even after I selected no, this did not help.",Digital Experience,Negative,Technology,Unresolved,Medium
"The app finally worked after a restart, but the error message was so vague that I wasted time guessing.",Digital Experience,Mixed,Technology,Partially Resolved,High
"The website was smooth, the upload finished quickly, and the confirmation appeared immediately.",Digital Experience,Positive,Technology,Resolved,Medium
"The portal kept timing out after payment, so I do not know whether the transaction went through.",Digital Experience,Negative,Technology,Unresolved,Medium
"Login was successful, but the page layout changed and I could not find the usual report link.",Digital Experience,Neutral,Technology,Review Required,High
Mobile flow is better now; fewer clicks and the status messages are easier to understand.,Digital Experience,Positive,Technology,Resolved,Medium
"The chatbot kept looping me back to the same article even after I selected no, this did not help.",Digital Experience,Negative,Technology,Unresolved,Medium
"The app finally worked after a restart, but the error message was so vague that I wasted time guessing.",Digital Experience,Mixed,Technology,Partially Resolved,High
"The website was smooth, the upload finished quickly, and the confirmation appeared immediately.",Digital Experience,Positive,Technology,Resolved,Medium
"The portal kept timing out after payment, so I do not know whether the transaction went through.",Digital Experience,Negative,Technology,Unresolved,Medium
"Login was successful, but the page layout changed and I could not find the usual report link.",Digital Experience,Neutral,Technology,Review Required,High
Mobile flow is better now; fewer clicks and the status messages are easier to understand.,Digital Experience,Positive,Technology,Resolved,Medium
"The chatbot kept looping me back to the same article even after I selected no, this did not help.",Digital Experience,Negative,Technology,Unresolved,Medium
"The app finally worked after a restart, but the error message was so vague that I wasted time guessing.",Digital Experience,Mixed,Technology,Partially Resolved,High
"The website was smooth, the upload finished quickly, and the confirmation appeared immediately.",Digital Experience,Positive,Technology,Resolved,Medium
"The portal kept timing out after payment, so I do not know whether the transaction went through.",Digital Experience,Negative,Technology,Unresolved,Medium
"Login was successful, but the page layout changed and I could not find the usual report link.",Digital Experience,Neutral,Technology,Review Required,High
Mobile flow is better now; fewer clicks and the status messages are easier to understand.,Digital Experience,Positive,Technology,Resolved,Medium
"The chatbot kept looping me back to the same article even after I selected no, this did not help.",Digital Experience,Negative,Technology,Unresolved,Medium
"The refund was processed, but the bill still shows an unexplained adjustment that worries me.",Billing Accuracy,Mixed,Process,Partially Resolved,High
The invoice matched the quote exactly and the tax breakdown was easy to follow.,Billing Accuracy,Positive,Process,Resolved,Medium
I was charged twice and the support team could not confirm when the duplicate amount will be reversed.,Billing Accuracy,Negative,Process,Unresolved,Medium
"The credit note is visible, though I am not sure why it took two billing cycles to appear.",Billing Accuracy,Neutral,Process,Review Required,High
Billing correction was quick and the agent sent a clean summary of the new balance.,Billing Accuracy,Positive,Process,Resolved,Medium
"The amount may be correct, but the description on the invoice does not match the product I purchased.",Billing Accuracy,Mixed,Process,Review Required,High
"The refund was processed, but the bill still shows an unexplained adjustment that worries me.",Billing Accuracy,Mixed,Process,Partially Resolved,High
The invoice matched the quote exactly and the tax breakdown was easy to follow.,Billing Accuracy,Positive,Process,Resolved,Medium
I was charged twice and the support team could not confirm when the duplicate amount will be reversed.,Billing Accuracy,Negative,Process,Unresolved,Medium
"The credit note is visible, though I am not sure why it took two billing cycles to appear.",Billing Accuracy,Neutral,Process,Review Required,High
Billing correction was quick and the agent sent a clean summary of the new balance.,Billing Accuracy,Positive,Process,Resolved,Medium
"The amount may be correct, but the description on the invoice does not match the product I purchased.",Billing Accuracy,Mixed,Process,Review Required,High
"The refund was processed, but the bill still shows an unexplained adjustment that worries me.",Billing Accuracy,Mixed,Process,Partially Resolved,High
The invoice matched the quote exactly and the tax breakdown was easy to follow.,Billing Accuracy,Positive,Process,Resolved,Medium
I was charged twice and the support team could not confirm when the duplicate amount will be reversed.,Billing Accuracy,Negative,Process,Unresolved,Medium
"The credit note is visible, though I am not sure why it took two billing cycles to appear.",Billing Accuracy,Neutral,Process,Review Required,High
Billing correction was quick and the agent sent a clean summary of the new balance.,Billing Accuracy,Positive,Process,Resolved,Medium
"The amount may be correct, but the description on the invoice does not match the product I purchased.",Billing Accuracy,Mixed,Process,Review Required,High
"The refund was processed, but the bill still shows an unexplained adjustment that worries me.",Billing Accuracy,Mixed,Process,Partially Resolved,High
The invoice matched the quote exactly and the tax breakdown was easy to follow.,Billing Accuracy,Positive,Process,Resolved,Medium
I was charged twice and the support team could not confirm when the duplicate amount will be reversed.,Billing Accuracy,Negative,Process,Unresolved,Medium
"The credit note is visible, though I am not sure why it took two billing cycles to appear.",Billing Accuracy,Neutral,Process,Review Required,High
Billing correction was quick and the agent sent a clean summary of the new balance.,Billing Accuracy,Positive,Process,Resolved,Medium
"The amount may be correct, but the description on the invoice does not match the product I purchased.",Billing Accuracy,Mixed,Process,Review Required,High
"The email explained the next action clearly, but it arrived after the promised deadline.",Communication Clarity,Mixed,Agent,Partially Resolved,High
"Every update was clear, timely, and written in plain language.",Communication Clarity,Positive,Agent,Resolved,Medium
The message used internal codes and I could not tell what I was supposed to do next.,Communication Clarity,Negative,Agent,Unresolved,Medium
"I received three updates, but each one repeated the same line without new information.",Communication Clarity,Neutral,Agent,Review Required,High
The team set expectations well and followed up exactly when they said they would.,Communication Clarity,Positive,Agent,Resolved,Medium
"The final answer was accurate, but the explanation was too technical for a customer email.",Communication Clarity,Mixed,Agent,Partially Resolved,High
"The email explained the next action clearly, but it arrived after the promised deadline.",Communication Clarity,Mixed,Agent,Partially Resolved,High
"Every update was clear, timely, and written in plain language.",Communication Clarity,Positive,Agent,Resolved,Medium
The message used internal codes and I could not tell what I was supposed to do next.,Communication Clarity,Negative,Agent,Unresolved,Medium
"I received three updates, but each one repeated the same line without new information.",Communication Clarity,Neutral,Agent,Review Required,High
The team set expectations well and followed up exactly when they said they would.,Communication Clarity,Positive,Agent,Resolved,Medium
"The final answer was accurate, but the explanation was too technical for a customer email.",Communication Clarity,Mixed,Agent,Partially Resolved,High
"The email explained the next action clearly, but it arrived after the promised deadline.",Communication Clarity,Mixed,Agent,Partially Resolved,High
"Every update was clear, timely, and written in plain language.",Communication Clarity,Positive,Agent,Resolved,Medium
The message used internal codes and I could not tell what I was supposed to do next.,Communication Clarity,Negative,Agent,Unresolved,Medium
"I received three updates, but each one repeated the same line without new information.",Communication Clarity,Neutral,Agent,Review Required,High
The team set expectations well and followed up exactly when they said they would.,Communication Clarity,Positive,Agent,Resolved,Medium
"The final answer was accurate, but the explanation was too technical for a customer email.",Communication Clarity,Mixed,Agent,Partially Resolved,High
"The email explained the next action clearly, but it arrived after the promised deadline.",Communication Clarity,Mixed,Agent,Partially Resolved,High
"Every update was clear, timely, and written in plain language.",Communication Clarity,Positive,Agent,Resolved,Medium
The message used internal codes and I could not tell what I was supposed to do next.,Communication Clarity,Negative,Agent,Unresolved,Medium
"I received three updates, but each one repeated the same line without new information.",Communication Clarity,Neutral,Agent,Review Required,High
The team set expectations well and followed up exactly when they said they would.,Communication Clarity,Positive,Agent,Resolved,Medium
"The final answer was accurate, but the explanation was too technical for a customer email.",Communication Clarity,Mixed,Agent,Partially Resolved,High
"The case was closed as solved, but the same issue came back the next morning.",Resolution Quality,Negative,Process,Unresolved,Medium
The fix worked on the first attempt and the agent verified it before ending the session.,Resolution Quality,Positive,Process,Resolved,Medium
"They gave me a workaround, which helped today, but no permanent fix was offered.",Resolution Quality,Mixed,Process,Partially Resolved,High
The ticket is still open and I only know that someone is investigating it.,Resolution Quality,Neutral,Process,Review Required,High
"The solution was complete, documented, and saved me from contacting support again.",Resolution Quality,Positive,Process,Resolved,Medium
Support marked the incident resolved even though the dashboard still shows the old error.,Resolution Quality,Negative,Process,Unresolved,Medium
"The case was closed as solved, but the same issue came back the next morning.",Resolution Quality,Negative,Process,Unresolved,Medium
The fix worked on the first attempt and the agent verified it before ending the session.,Resolution Quality,Positive,Process,Resolved,Medium
"They gave me a workaround, which helped today, but no permanent fix was offered.",Resolution Quality,Mixed,Process,Partially Resolved,High
The ticket is still open and I only know that someone is investigating it.,Resolution Quality,Neutral,Process,Review Required,High
"The solution was complete, documented, and saved me from contacting support again.",Resolution Quality,Positive,Process,Resolved,Medium
Support marked the incident resolved even though the dashboard still shows the old error.,Resolution Quality,Negative,Process,Unresolved,Medium
"The case was closed as solved, but the same issue came back the next morning.",Resolution Quality,Negative,Process,Unresolved,Medium
The fix worked on the first attempt and the agent verified it before ending the session.,Resolution Quality,Positive,Process,Resolved,Medium
"They gave me a workaround, which helped today, but no permanent fix was offered.",Resolution Quality,Mixed,Process,Partially Resolved,High
The ticket is still open and I only know that someone is investigating it.,Resolution Quality,Neutral,Process,Review Required,High
"The solution was complete, documented, and saved me from contacting support again.",Resolution Quality,Positive,Process,Resolved,Medium
Support marked the incident resolved even though the dashboard still shows the old error.,Resolution Quality,Negative,Process,Unresolved,Medium
"The case was closed as solved, but the same issue came back the next morning.",Resolution Quality,Negative,Process,Unresolved,Medium
The fix worked on the first attempt and the agent verified it before ending the session.,Resolution Quality,Positive,Process,Resolved,Medium
"They gave me a workaround, which helped today, but no permanent fix was offered.",Resolution Quality,Mixed,Process,Partially Resolved,High
The ticket is still open and I only know that someone is investigating it.,Resolution Quality,Neutral,Process,Review Required,High
"The solution was complete, documented, and saved me from contacting support again.",Resolution Quality,Positive,Process,Resolved,Medium
Support marked the incident resolved even though the dashboard still shows the old error.,Resolution Quality,Negative,Process,Unresolved,Medium
"The agent was kind, but the policy prevented them from correcting a small obvious mistake.",Policy Friction,Mixed,Policy,Review Required,High
The policy exception was approved quickly and the team explained why it was allowed.,Policy Friction,Positive,Policy,Resolved,Medium
I was told no without any explanation of the rule or any alternate option.,Policy Friction,Negative,Policy,Unresolved,Medium
"The rule may make sense internally, but as a customer it feels rigid and confusing.",Policy Friction,Neutral,Policy,Review Required,High
The eligibility guidance was transparent and helped me choose the right plan.,Policy Friction,Positive,Policy,Resolved,Medium
"The cancellation terms were only mentioned after I tried to leave, which felt unfair.",Policy Friction,Negative,Policy,Unresolved,Medium
"The agent was kind, but the policy prevented them from correcting a small obvious mistake.",Policy Friction,Mixed,Policy,Review Required,High
The policy exception was approved quickly and the team explained why it was allowed.,Policy Friction,Positive,Policy,Resolved,Medium
I was told no without any explanation of the rule or any alternate option.,Policy Friction,Negative,Policy,Unresolved,Medium
"The rule may make sense internally, but as a customer it feels rigid and confusing.",Policy Friction,Neutral,Policy,Review Required,High
The eligibility guidance was transparent and helped me choose the right plan.,Policy Friction,Positive,Policy,Resolved,Medium
"The cancellation terms were only mentioned after I tried to leave, which felt unfair.",Policy Friction,Negative,Policy,Unresolved,Medium
"The agent was kind, but the policy prevented them from correcting a small obvious mistake.",Policy Friction,Mixed,Policy,Review Required,High
The policy exception was approved quickly and the team explained why it was allowed.,Policy Friction,Positive,Policy,Resolved,Medium
I was told no without any explanation of the rule or any alternate option.,Policy Friction,Negative,Policy,Unresolved,Medium
"The rule may make sense internally, but as a customer it feels rigid and confusing.",Policy Friction,Neutral,Policy,Review Required,High
The eligibility guidance was transparent and helped me choose the right plan.,Policy Friction,Positive,Policy,Resolved,Medium
"The cancellation terms were only mentioned after I tried to leave, which felt unfair.",Policy Friction,Negative,Policy,Unresolved,Medium
"The agent was kind, but the policy prevented them from correcting a small obvious mistake.",Policy Friction,Mixed,Policy,Review Required,High
The policy exception was approved quickly and the team explained why it was allowed.,Policy Friction,Positive,Policy,Resolved,Medium
I was told no without any explanation of the rule or any alternate option.,Policy Friction,Negative,Policy,Unresolved,Medium
"The rule may make sense internally, but as a customer it feels rigid and confusing.",Policy Friction,Neutral,Policy,Review Required,High
The eligibility guidance was transparent and helped me choose the right plan.,Policy Friction,Positive,Policy,Resolved,Medium
"The cancellation terms were only mentioned after I tried to leave, which felt unfair.",Policy Friction,Negative,Policy,Unresolved,Medium
"The product has the feature I need, but setting it up requires more technical knowledge than expected.",Product Fit,Mixed,Customer,Partially Resolved,High
The plan fits our use case well and the recommended configuration worked immediately.,Product Fit,Positive,Customer,Resolved,Medium
This package does not support the workflow our team bought it for.,Product Fit,Negative,Customer,Unresolved,Medium
"The product is usable, but I need clearer guidance on which option is right for my team.",Product Fit,Neutral,Customer,Review Required,High
The recommendation matched our business need and reduced manual effort quickly.,Product Fit,Positive,Customer,Resolved,Medium
"The feature exists but feels incomplete, so we still need another tool to finish the job.",Product Fit,Mixed,Customer,Partially Resolved,High
"The product has the feature I need, but setting it up requires more technical knowledge than expected.",Product Fit,Mixed,Customer,Partially Resolved,High
The plan fits our use case well and the recommended configuration worked immediately.,Product Fit,Positive,Customer,Resolved,Medium
This package does not support the workflow our team bought it for.,Product Fit,Negative,Customer,Unresolved,Medium
"The product is usable, but I need clearer guidance on which option is right for my team.",Product Fit,Neutral,Customer,Review Required,High
The recommendation matched our business need and reduced manual effort quickly.,Product Fit,Positive,Customer,Resolved,Medium
"The feature exists but feels incomplete, so we still need another tool to finish the job.",Product Fit,Mixed,Customer,Partially Resolved,High
"The product has the feature I need, but setting it up requires more technical knowledge than expected.",Product Fit,Mixed,Customer,Partially Resolved,High
The plan fits our use case well and the recommended configuration worked immediately.,Product Fit,Positive,Customer,Resolved,Medium
This package does not support the workflow our team bought it for.,Product Fit,Negative,Customer,Unresolved,Medium
"The product is usable, but I need clearer guidance on which option is right for my team.",Product Fit,Neutral,Customer,Review Required,High
The recommendation matched our business need and reduced manual effort quickly.,Product Fit,Positive,Customer,Resolved,Medium
"The feature exists but feels incomplete, so we still need another tool to finish the job.",Product Fit,Mixed,Customer,Partially Resolved,High
"The product has the feature I need, but setting it up requires more technical knowledge than expected.",Product Fit,Mixed,Customer,Partially Resolved,High
The plan fits our use case well and the recommended configuration worked immediately.,Product Fit,Positive,Customer,Resolved,Medium
This package does not support the workflow our team bought it for.,Product Fit,Negative,Customer,Unresolved,Medium
"The product is usable, but I need clearer guidance on which option is right for my team.",Product Fit,Neutral,Customer,Review Required,High
The recommendation matched our business need and reduced manual effort quickly.,Product Fit,Positive,Customer,Resolved,Medium
"The feature exists but feels incomplete, so we still need another tool to finish the job.",Product Fit,Mixed,Customer,Partially Resolved,High
"Great, another perfectly polite answer that still leaves my billing dispute unresolved after two weeks.",Billing Accuracy,Negative,Process,Unresolved,High
"The agent was cheerful, but the app crash was the real reason I could not complete the request.",Digital Experience,Mixed,Technology,Unresolved,High
"Fast response, wrong solution, and now I have to contact support again tomorrow.",Resolution Quality,Negative,Process,Unresolved,High
"The policy explanation was clear, which helped, although the restriction still blocks what I need.",Policy Friction,Mixed,Policy,Review Required,High
"The portal looked clean and modern, but the invoice download button did nothing.",Digital Experience,Mixed,Technology,Unresolved,High
"The answer was technically correct, but nobody explained it in a way my team could use.",Communication Clarity,Mixed,Agent,Partially Resolved,High
"I am happy with the feature now, but onboarding took too many unclear steps.",Product Fit,Mixed,Customer,Partially Resolved,High
"The wait was short, yet the agent transferred me without explaining the next team.",Communication Clarity,Mixed,Agent,Review Required,High
"Great, another perfectly polite answer that still leaves my billing dispute unresolved after two weeks.",Billing Accuracy,Negative,Process,Unresolved,High
"The agent was cheerful, but the app crash was the real reason I could not complete the request.",Digital Experience,Mixed,Technology,Unresolved,High
"Fast response, wrong solution, and now I have to contact support again tomorrow.",Resolution Quality,Negative,Process,Unresolved,High
"The policy explanation was clear, which helped, although the restriction still blocks what I need.",Policy Friction,Mixed,Policy,Review Required,High
"The portal looked clean and modern, but the invoice download button did nothing.",Digital Experience,Mixed,Technology,Unresolved,High
"The answer was technically correct, but nobody explained it in a way my team could use.",Communication Clarity,Mixed,Agent,Partially Resolved,High
"I am happy with the feature now, but onboarding took too many unclear steps.",Product Fit,Mixed,Customer,Partially Resolved,High
"The wait was short, yet the agent transferred me without explaining the next team.",Communication Clarity,Mixed,Agent,Review Required,High
"Great, another perfectly polite answer that still leaves my billing dispute unresolved after two weeks.",Billing Accuracy,Negative,Process,Unresolved,High
"The agent was cheerful, but the app crash was the real reason I could not complete the request.",Digital Experience,Mixed,Technology,Unresolved,High
"Fast response, wrong solution, and now I have to contact support again tomorrow.",Resolution Quality,Negative,Process,Unresolved,High
"The policy explanation was clear, which helped, although the restriction still blocks what I need.",Policy Friction,Mixed,Policy,Review Required,High
"The portal looked clean and modern, but the invoice download button did nothing.",Digital Experience,Mixed,Technology,Unresolved,High
"The answer was technically correct, but nobody explained it in a way my team could use.",Communication Clarity,Mixed,Agent,Partially Resolved,High
"I am happy with the feature now, but onboarding took too many unclear steps.",Product Fit,Mixed,Customer,Partially Resolved,High
"The wait was short, yet the agent transferred me without explaining the next team.",Communication Clarity,Mixed,Agent,Review Required,High
